시점,출생아수(명),자연증가율(천명당),합계출산율(명)
1970,1006645,23.2,4.53
1971,1024773,23.9,4.54
1972,952780,22.2,4.12
1973,965521,20.5,4.07
1974,922823,19.4,3.77
1975,874030,17.1,3.43
1976,796331,14.8,3
1977,825339,15.8,2.99
1978,750728,13.5,2.64
1979,862669,16.6,2.9
1980,862835,15.4,2.82
1981,867409,16.3,2.57
1982,848312,15.3,2.39
1983,769155,12.9,2.06
1984,674793,10.8,1.74
1985,655489,10.2,1.66
1986,636019,9.6,1.58
1987,623831,9.1,1.53
1988,633092,9.5,1.55
1989,639431,9.5,1.56
1990,649738,9.5,1.57
1991,709275,10.8,1.71
1992,730678,11.3,1.76
1993,715826,10.8,1.654
1994,721185,10.6,1.656
1995,715020,10.3,1.634
1996,691226,9.8,1.574
1997,675394,9.3,1.537
1998,641594,8.4,1.464
1999,620668,7.9,1.425
2000,640089,8.2,1.48
2001,559934,6.6,1.309
2002,496911,5.2,1.178
2003,495036,5.1,1.191
2004,476958,4.8,1.164
2005,438707,4,1.085
2006,451759,4.2,1.132
2007,496822,5.1,1.259
2008,465892,4.4,1.192
2009,444849,4,1.149
2010,470171,4.3,1.226
2011,471265,4.3,1.244
2012,484550,4.3,1.297
2013,436455,3.4,1.187
2014,435435,3.3,1.205
2015,438420,3.2,1.239
2016,406243,2.5,1.172
2017,357771,1.4,1.052
2018,326822,0.5,0.977
2019,302676,0.1,0.918
2020,272337,-0.6,0.837
2021,260562,-1.1,0.808
