시군구,유소년인구,노동가능인구,노년인구
종로구,0.082752476,0.730030621,0.187216902
중구,0.077078161,0.733206557,0.189715282
용산구,0.088567593,0.740921295,0.170511112
성동구,0.099037033,0.740223197,0.160739771
광진구,0.088125411,0.761884014,0.149990575
동대문구,0.090902332,0.727320888,0.181776781
중랑구,0.088326815,0.727799447,0.183873739
성북구,0.104774112,0.724853777,0.170372111
강북구,0.081701199,0.703226715,0.215072086
도봉구,0.091518064,0.707134265,0.201347671
노원구,0.107791392,0.720837281,0.171371327
은평구,0.098208897,0.718058887,0.183732216
서대문구,0.095825489,0.730606136,0.173568375
마포구,0.101360217,0.752170102,0.146469682
양천구,0.123507111,0.723007912,0.153484977
강서구,0.10269427,0.736621357,0.160684373
구로구,0.102709343,0.717492874,0.179797784
금천구,0.079803897,0.74579908,0.174397023
영등포구,0.097900861,0.739401818,0.162697321
동작구,0.093115198,0.73529188,0.171592922
관악구,0.066888861,0.768524942,0.164586197
서초구,0.133787282,0.717832366,0.148380353
강남구,0.121372312,0.729262553,0.149365135
송파구,0.119021608,0.731426423,0.149551969
강동구,0.119437322,0.720761804,0.159800873
부산 중구,0.050167049,0.678769054,0.271063896
부산 서구,0.084000647,0.657991588,0.258007765
부산 동구,0.073904943,0.658824389,0.267270668
부산 영도구,0.075368329,0.642057506,0.282574165
부산 부산진구,0.092377711,0.705709196,0.201913094
부산 동래구,0.119338758,0.688203653,0.192457589
부산 남구,0.10746669,0.684606133,0.207927177
부산 북구,0.105603013,0.71288917,0.181507817
부산 해운대구,0.11748158,0.698936167,0.183582252
부산 사하구,0.101439875,0.700664295,0.197895829
부산 금정구,0.089515205,0.695440169,0.215044626
부산 강서구,0.203259544,0.678783399,0.117957057
부산 연제구,0.108591223,0.688387968,0.203020809
부산 수영구,0.089597699,0.689042925,0.221359376
부산 사상구,0.089335173,0.72047889,0.190185937
부산 기장군,0.166531173,0.674415685,0.159053141
대구 중구,0.102608794,0.69278295,0.204608256
대구 동구,0.111679126,0.683281371,0.205039503
대구 서구,0.07069134,0.691623845,0.237684814
대구 남구,0.072301352,0.688663148,0.2390355
대구 북구,0.120366242,0.729868173,0.149765584
대구 수성구,0.129040581,0.704737358,0.166222062
대구 달서구,0.115762482,0.730643275,0.153594243
대구 달성군,0.166153137,0.704779209,0.129067655
인천 중구,0.135317683,0.716649818,0.148032498
인천 동구,0.097812706,0.666273167,0.235914127
인천 연수구,0.156983514,0.73939939,0.103617096
인천 남동구,0.124999749,0.731996555,0.143003696
인천 부평구,0.106002582,0.739175778,0.154821641
인천 계양구,0.10248273,0.762582267,0.134935003
인천 서구,0.146147338,0.743232833,0.110619829
인천 미추홀구,0.104295107,0.721709956,0.173994938
인천 강화군,0.081666346,0.577803424,0.34053023
인천 옹진군,0.076958028,0.626057818,0.296984154
광주 동구,0.101748293,0.685454438,0.212797269
광주 서구,0.120511999,0.730281663,0.149206338
광주 남구,0.13319932,0.687711489,0.17908919
광주 북구,0.123231372,0.72141146,0.155357168
광주 광산구,0.159484316,0.746022364,0.09449332
대전 동구,0.106111328,0.70542269,0.188465982
대전 중구,0.107782471,0.688878482,0.203339047
대전 서구,0.12710745,0.740058953,0.132833597
대전 유성구,0.150505115,0.750828249,0.098666636
대전 대덕구,0.104267845,0.73153325,0.164198905
울산 중구,0.122568027,0.714172555,0.163259419
울산 남구,0.120525955,0.748659812,0.130814232
울산 동구,0.148680295,0.714476606,0.1368431
울산 북구,0.176455107,0.736310219,0.087234674
울산 울주군,0.128786935,0.718284565,0.1529285
세종특별자치시,0.201975425,0.700171086,0.097853489
수원 장안구,0.115280104,0.745708471,0.139011425
수원 권선구,0.130450096,0.750634839,0.118915065
수원 팔달구,0.091013369,0.753657683,0.155328948
수원 영통구,0.154300625,0.767338381,0.078360994
성남 수정구,0.099148445,0.73589391,0.164957644
성남 중원구,0.095762373,0.739317104,0.164920523
성남 분당구,0.137155199,0.729559218,0.133285582
의정부시,0.118653128,0.724809002,0.15653787
안양 만안구,0.09883825,0.735072102,0.166089648
안양 동안구,0.129078603,0.743824218,0.127097178
부천시,0.109505575,0.746314175,0.14418025
광명시,0.127690442,0.726686982,0.145622575
평택시,0.143310887,0.735066653,0.12162246
동두천시,0.111368275,0.680899338,0.207732388
안산 상록구,0.109195573,0.773213077,0.11759135
안산 단원구,0.112256869,0.778851497,0.108891633
고양 덕양구,0.123961815,0.724441863,0.151596322
고양 일산동구,0.116232115,0.750708993,0.133058892
고양 일산서구,0.127794088,0.737049129,0.135156784
과천시,0.138628416,0.718286758,0.143084827
구리시,0.120803504,0.736207817,0.142988679
남양주시,0.147185484,0.707267798,0.145546718
오산시,0.156245258,0.743521767,0.100232975
시흥시,0.147576763,0.756827542,0.095595695
군포시,0.118341864,0.741175192,0.140482944
의왕시,0.121962326,0.735070582,0.142967091
하남시,0.15497854,0.715457074,0.129564386
용인 처인구,0.129684707,0.723098489,0.147216805
용인 기흥구,0.154083703,0.710162851,0.135753447
용인 수지구,0.15814863,0.70477382,0.13707755
파주시,0.151851579,0.707258512,0.140889908
이천시,0.137737273,0.71466682,0.147595907
안성시,0.120644442,0.702760391,0.176595167
김포시,0.173827487,0.699448802,0.126723711
화성시,0.183956297,0.725723016,0.090320687
광주시,0.135666288,0.722630916,0.141702796
양주시,0.141519209,0.699598556,0.158882236
포천시,0.097387416,0.700151962,0.202460621
여주시,0.106561303,0.66789272,0.225545977
